created_at,priority,candidate,family,requested_paths,selected_model,status,reason
"2026-06-10T16:26:49+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-10T16:26:49+09:00","P1","LEAF-YOLO","YOLOv7 / lightweight UAV","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt,external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt;external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","QUEUED_RELATED_WORK","GitHub-backed lightweight UAV detector with staged LEAF-YOLO-N and LEAF-YOLO weights."
"2026-06-10T16:26:49+09:00","P1","SFFEF-YOLO","YOLOv8 / tiny-head UAV","weights/sffef-yolo.pt,sffef-yolo.pt,external/SFFEF-YOLO/weights/sffef-yolo.pt,external/SFFEF-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset UAV detector on VisDrone2019-DET, UAVDT, and TinyPerson; run only if a compatible checkpoint/config is staged."
"2026-06-10T16:26:49+09:00","P1","LSOD-YOLO","YOLOv8 / lightweight small-object","weights/lsod-yolo.pt,lsod-yolo.pt,external/LSOD-YOLO/weights/lsod-yolo.pt,external/LSOD-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset lightweight detector on VisDrone2019, TinyPerson, LEVIR-Ship, and UAVDT; run only if a compatible checkpoint/config is staged."
"2026-06-10T16:26:49+09:00","P1","HF-D-FINE","D-FINE / high-resolution tiny-object","weights/hf-d-fine.pt,hf-d-fine.pt,external/HF-D-FINE/weights/hf-d-fine.pt,external/HF-D-FINE/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset non-YOLO target on VisDrone, AI-TOD, and UAVDT; run only after a compatible D-FINE adapter/checkpoint is staged."
"2026-06-10T16:26:49+09:00","P1","UAVDet","CNN-Mamba / efficient UAV","weights/uavdet.pt,uavdet.pt,external/UAVDet/weights/uavdet.pt,external/UAVDet/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset CNN-Mamba target on VisDrone, UAVDT, and DroneVehicle; run only if modality and adapter assumptions are fair."
"2026-06-10T16:26:49+09:00","P1","DR-YOLO","YOLOv7 / drone small-object","weights/dr-yolo.pt,external/DR-YOLO/weights/dr-yolo.pt,external/DR-YOLO/runs/train/exp/weights/best.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub-backed drone small-object detector; run after staging code, weights, and YOLOv7 adapter. Repo is staged at external/DR-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-10T16:26:49+09:00","P2","SOD-YOLO","UAV YOLO / release pending","weights/sod-yolo.pt,external/SOD-YOLO/sod-yolo.pt,external/SOD-YOLO/weights/sod-yolo.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub page exists, but code/weights may be release-pending; pass full reproduction unless runnable assets appear. Repo is staged at external/SOD-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-10T16:26:49+09:00","P2","UAVD-Mamba","Mamba / multimodal UAV","weights/uavd-mamba.pt,external/UAVD-Mamba/weights/uavd-mamba.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed Mamba detector; only fair if modality/input adapter can match our VisDrone protocol. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-10T16:26:49+09:00","P2","RF-DETR-B","RF-DETR / generic transformer","weights/rf-detr-b.pt,external/rf-detr/weights/rf-detr-b.pt,external/RF-DETR/weights/rf-detr-b.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed generic detector sanity check; lower priority than UAV-specific candidates. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-10T16:26:49+09:00","P2","GCL-YOLO","YOLOv5 / lightweight P5-removal","weights/gcl-yolo.pt,gcl-yolo.pt,external/GCL-YOLO/weights/gcl-yolo.pt,external/GCL-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Backup same-dataset reference on VisDrone-DET2021 and UAVDT; useful if a compatible checkpoint/reproduction is staged."
"2026-06-10T16:26:49+09:00","P2","SRTSOD-YOLO","YOLO11 / UAV small-object","weights/srtsod-yolo.pt,srtsod-yolo.pt,external/SRTSOD-YOLO/weights/srtsod-yolo.pt,external/SRTSOD-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Recent YOLO11 same-dataset reference on VisDrone and UAVDT; run only with staged compatible assets."
"2026-06-10T16:26:49+09:00","P2","YOLO11s-UAV","YOLO11 / UAV small-object","weights/yolo11s-uav.pt,yolo11s-uav.pt,external/YOLO11s-UAV/weights/yolo11s-uav.pt,external/YOLO11s-UAV/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Recent YOLO11 same-dataset reference on VisDrone-DET2019, UAVDT-DET, and TinyPerson; run only with staged compatible assets."
"2026-06-10T16:26:49+09:00","P1","LRDS-YOLO","lightweight UAV YOLO","weights/lrds-yolo.pt,weights/lrds-yolo.yaml,external/LRDS-YOLO/lrds-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Keep as cited related work; do not spend full reproduction time."
"2026-06-10T16:26:49+09:00","P1","BPD-YOLO","lightweight UAV YOLO","weights/bpd-yolo.pt,weights/bpd-yolo.yaml,external/BPD-YOLO/bpd-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Use only lightweight idea-level ablations if the module is simple."
"2026-06-10T16:26:49+09:00","P2","No-code lightweight ideas","module ablation","NMS,activation,wavelet,DCT,attention,P2 head","","LIGHTWEIGHT_ABLATION_ONLY","Allowed path for no-GitHub papers: test simple transferable ideas inside our proposed YOLO branch, not full model reproduction."
"2026-06-10T16:26:53+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-20T00:43:51+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-20T00:44:29+09:00","P1","LEAF-YOLO","YOLOv7 / lightweight UAV","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt,external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt;external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","QUEUED_RELATED_WORK","GitHub-backed lightweight UAV detector with staged LEAF-YOLO-N and LEAF-YOLO weights."
"2026-06-20T00:46:09+09:00","P1","SFFEF-YOLO","YOLOv8 / tiny-head UAV","weights/sffef-yolo.pt,sffef-yolo.pt,external/SFFEF-YOLO/weights/sffef-yolo.pt,external/SFFEF-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset UAV detector on VisDrone2019-DET, UAVDT, and TinyPerson; run only if a compatible checkpoint/config is staged."
"2026-06-20T00:46:09+09:00","P1","LSOD-YOLO","YOLOv8 / lightweight small-object","weights/lsod-yolo.pt,lsod-yolo.pt,external/LSOD-YOLO/weights/lsod-yolo.pt,external/LSOD-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset lightweight detector on VisDrone2019, TinyPerson, LEVIR-Ship, and UAVDT; run only if a compatible checkpoint/config is staged."
"2026-06-20T00:46:09+09:00","P1","HF-D-FINE","D-FINE / high-resolution tiny-object","weights/hf-d-fine.pt,hf-d-fine.pt,external/HF-D-FINE/weights/hf-d-fine.pt,external/HF-D-FINE/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset non-YOLO target on VisDrone, AI-TOD, and UAVDT; run only after a compatible D-FINE adapter/checkpoint is staged."
"2026-06-20T00:46:09+09:00","P1","UAVDet","CNN-Mamba / efficient UAV","weights/uavdet.pt,uavdet.pt,external/UAVDet/weights/uavdet.pt,external/UAVDet/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Same-dataset CNN-Mamba target on VisDrone, UAVDT, and DroneVehicle; run only if modality and adapter assumptions are fair."
"2026-06-20T00:46:09+09:00","P1","DR-YOLO","YOLOv7 / drone small-object","weights/dr-yolo.pt,external/DR-YOLO/weights/dr-yolo.pt,external/DR-YOLO/runs/train/exp/weights/best.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub-backed drone small-object detector; run after staging code, weights, and YOLOv7 adapter. Repo is staged at external/DR-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-20T00:46:09+09:00","P2","SOD-YOLO","UAV YOLO / release pending","weights/sod-yolo.pt,external/SOD-YOLO/sod-yolo.pt,external/SOD-YOLO/weights/sod-yolo.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub page exists, but code/weights may be release-pending; pass full reproduction unless runnable assets appear. Repo is staged at external/SOD-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-20T00:46:09+09:00","P2","UAVD-Mamba","Mamba / multimodal UAV","weights/uavd-mamba.pt,external/UAVD-Mamba/weights/uavd-mamba.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed Mamba detector; only fair if modality/input adapter can match our VisDrone protocol. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-20T00:46:09+09:00","P2","RF-DETR-B","RF-DETR / generic transformer","weights/rf-detr-b.pt,external/rf-detr/weights/rf-detr-b.pt,external/RF-DETR/weights/rf-detr-b.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed generic detector sanity check; lower priority than UAV-specific candidates. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-20T00:46:09+09:00","P2","GCL-YOLO","YOLOv5 / lightweight P5-removal","weights/gcl-yolo.pt,gcl-yolo.pt,external/GCL-YOLO/weights/gcl-yolo.pt,external/GCL-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Backup same-dataset reference on VisDrone-DET2021 and UAVDT; useful if a compatible checkpoint/reproduction is staged."
"2026-06-20T00:46:09+09:00","P2","SRTSOD-YOLO","YOLO11 / UAV small-object","weights/srtsod-yolo.pt,srtsod-yolo.pt,external/SRTSOD-YOLO/weights/srtsod-yolo.pt,external/SRTSOD-YOLO/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Recent YOLO11 same-dataset reference on VisDrone and UAVDT; run only with staged compatible assets."
"2026-06-20T00:46:09+09:00","P2","YOLO11s-UAV","YOLO11 / UAV small-object","weights/yolo11s-uav.pt,yolo11s-uav.pt,external/YOLO11s-UAV/weights/yolo11s-uav.pt,external/YOLO11s-UAV/runs/train/exp/weights/best.pt","","SKIPPED_EXTERNAL_REQUIRED","Recent YOLO11 same-dataset reference on VisDrone-DET2019, UAVDT-DET, and TinyPerson; run only with staged compatible assets."
"2026-06-20T00:46:09+09:00","P1","LRDS-YOLO","lightweight UAV YOLO","weights/lrds-yolo.pt,weights/lrds-yolo.yaml,external/LRDS-YOLO/lrds-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Keep as cited related work; do not spend full reproduction time."
"2026-06-20T00:46:09+09:00","P1","BPD-YOLO","lightweight UAV YOLO","weights/bpd-yolo.pt,weights/bpd-yolo.yaml,external/BPD-YOLO/bpd-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Use only lightweight idea-level ablations if the module is simple."
"2026-06-20T00:46:09+09:00","P2","No-code lightweight ideas","module ablation","NMS,activation,wavelet,DCT,attention,P2 head","","LIGHTWEIGHT_ABLATION_ONLY","Allowed path for no-GitHub papers: test simple transferable ideas inside our proposed YOLO branch, not full model reproduction."
