key,title,doi_or_url,version,decision,relevant_section,supported_claim,evidence_source
liu2023mdmt,Robust Multi-Drone Multi-Target Tracking to Resolve Target Occlusion: A Benchmark,10.1109/TMM.2023.3234822,current_before_audit,keep,Related Work: aerial tracking,Multi-drone tracking benchmark context.,current LaTeX citation and main.bib metadata
luiten2021hota,{HOTA}: A Higher Order Metric for Evaluating Multi-Object Tracking,10.1007/s11263-020-01375-2,current_before_audit,keep,Evaluation,HOTA metric definition.,current LaTeX citation and main.bib metadata
ma2020frelu,Funnel Activation for Visual Recognition,10.1007/978-3-030-58621-8_7,current_before_audit,keep,Detector frontend,Funnel activation context.,current LaTeX citation and main.bib metadata
maggiolino2023deepocsort,Deep {OC-SORT}: Multi-Pedestrian Tracking by Adaptive Re-Identification,10.1109/ICIP49359.2023.10222576,current_before_audit,keep,Method and protocol,Deep OC-SORT upstream tracker.,current LaTeX citation and main.bib metadata
naik2024bucktales,{BuckTales}: A Multi-{UAV} Dataset for Multi-Object Tracking and Re-Identification of Wild Antelopes,10.52202/079017-2606,current_before_audit,keep,Protocol,BuckTales benchmark source.,current LaTeX citation and main.bib metadata
nie2025m3ot,{M3OT}: A Multi-Drone Multi-Modality Dataset for Multi-Object Tracking,10.1038/s41597-025-06204-0,current_before_audit,keep,Protocol,M3OT benchmark source.,current LaTeX citation and main.bib metadata
ovadia2019uncertainty,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty under Dataset Shift,current LaTeX citation and main.bib metadata,current_before_audit,keep,Related Work: uncertainty,Uncertainty under shift.,current LaTeX citation and main.bib metadata
ristani2016performance,"Performance Measures and a Data Set for Multi-Target, Multi-Camera Tracking",10.1007/978-3-319-48881-3_2,current_before_audit,keep,Evaluation,IDF1 metric definition.,current LaTeX citation and main.bib metadata
sadeghibakhi2025comparison,Comparison of Small Object Detection Approaches in Unmanned Aerial Vehicle ({UAV}) Images,10.1109/SWC65939.2025.00084,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
sun2025gta,{GTA}: Global Tracklet Association for Multi-Object Tracking in Sports,10.1007/978-981-96-2644-1_6,20260915_scope_audit,add,Related Work: post-tracking linking,GTA is a plug-and-play global tracklet association method.,https://link.springer.com/chapter/10.1007/978-981-96-2644-1_6
tang2019cityflow,{CityFlow}: A City-Scale Benchmark for Multi-Target Multi-Camera Vehicle Tracking and Re-Identification,10.1109/CVPR.2019.00900,current_before_audit,keep,Related Work: graph MOT,City-scale multi-camera association.,current LaTeX citation and main.bib metadata
tian2025ucdnet,{UCDNet}: Multi-{UAV} Collaborative {3D} Object Detection Network by Reliable Feature Mapping,10.1109/TGRS.2024.3517594,current_before_audit,keep,Related Work: cooperation,Cross-UAV feature mapping.,current LaTeX citation and main.bib metadata
wojke2017deepsort,Simple Online and Realtime Tracking with a Deep Association Metric,10.1109/ICIP.2017.8296962,20260915_scope_audit,add,Related Work: aerial tracking,Deep SORT adds a learned appearance association metric.,https://arxiv.org/abs/1703.07402
wu2025tsmmt,Temporal-Spatial Feature Interaction Network for Multi-Drone Multi-Object Tracking,10.1109/TCSVT.2024.3478758,current_before_audit,keep,Related Work: aerial tracking,Temporal-spatial multi-drone tracking.,current LaTeX citation and main.bib metadata
yang2026uavdet,{UAVDet}: A {CNN}--{Mamba} Hybrid Network for Efficient Small Object Detection in {UAV} Imagery,10.1016/j.cviu.2026.104637,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
zhang2022bytetrack,{ByteTrack}: Multi-Object Tracking by Associating Every Detection Box,10.1007/978-3-031-20047-2_1,current_before_audit,keep,Method and protocol,ByteTrack upstream tracker.,current LaTeX citation and main.bib metadata
zhang2024attention4align,{Attention4Align}: Align Multi-View Parts Via Part2Part Hierarchical Attention Maps for Fine-Grained {3D} Object Classification,prior cited manuscript and retained main.bib metadata,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
zhen2026gmt,{GMT}: Effective Global Framework for Multi-Camera Multi-Target Tracking,prior cited manuscript and retained main.bib metadata,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
